Spring 2020,,
College Name,Page Number,
College of Arts and Sciences,1,
College of Engineering and Applied Sciences,103,
"College of Media, Communication and Information",130,
College of Music,142,
Cross-College Programs,159,
Leeds School of Business,162,
Program in Environmental Design,173,
School of Education,175,
School of Law,180,
Note ,,
"This listing was prepared on the basis of the best information available as of November 5, 2019. All information is subject to",,
change.,,
Office of the Registrar,Spring 2020,University of Colorado Boulder
~University of,,Colorado,,Boulder,,Schedule of Classes for Spring 2020,,,,,,,,
College of Arts and Sciences,,,,,,,,,,,,,,
Woodbury 109,,,,,303-492-7885,,,,,,,,,
http://artsandsciences.colorado.edu/,,,,,,,,,,,,,,
Anthropology,,,,,,,,,,,,,,
Hale 350,,,,,303-492-2547,,,,,,,,,
http://www.colorado.edu/Anthropology/,,,,,,,,,,,,,,
Undergraduate,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,COURSE TITLE,CLASS,MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,COMPONENT,,,,,,,ENR,
Page 45 of 180,,,,,,,,Spring 2020,,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,,
GEOL,2005,12,B,23074,4,Earth Materials,LAB,02:00 PM - 04:50 PM,TH,BESC 455,,"Flowers,Rebecca M",22,Main Campus
GEOL,2040,1,B,22616,3,Srch for Life in the Universe,LEC,03:30 PM - 04:45 PM,TTH,BESC 180,,,62,Main Campus
GEOL,2700,1,B,21765,2,Intro to Field Geology,FLD,12:00 PM - 05:50 PM,TTH,BESC 1B81,,"Abbott,Lon",19,Main Campus
GEOL,2700,1,B,21765,2,Intro to Field Geology,FLD,-,,,,,19,Main Campus
GEOL,3020,100,B,17782,3,Petrology,LEC,09:30 AM - 10:45 AM,TTH,BESC 1B75,,"Stern,Charles R",32,Main Campus
GEOL,3020,101,B,17783,3,Petrology,LAB,02:00 PM - 04:45 PM,T,BESC 455,,"Stern,Charles R",16,Main Campus
GEOL,3020,102,B,17784,3,Petrology,LAB,02:00 PM - 04:45 PM,W,BESC 455,,"Stern,Charles R",16,Main Campus
GEOL,3050,1,B,24518,2,GIS for Geologists,MLS,11:00 AM - 12:50 PM,TTH,BESC 385,,"Hynek,Brian Michael",24,Main Campus
GEOL,3070,1,B,17787,3,Introduction to Oceanography,LEC,11:00 AM - 12:15 PM,TTH,BESC 180,,"Marchitto,Thomas",169,Main Campus
GEOL,3320,1,B,17788,3,Intro to Geochemistry,LEC,11:00 AM - 11:50 AM,MWF,BESC 185,,,73,Main Campus
GEOL,3320,10,B,33215,3,Intro to Geochemistry,REC,04:00 PM - 04:50 PM,M,BESC 265,,,24,Main Campus
GEOL,3320,11,B,33216,3,Intro to Geochemistry,REC,04:00 PM - 04:50 PM,M,BESC 1B75,,,49,Main Campus
GEOL,3330,1,B,17811,3,Principles of Geophysics,LEC,11:00 AM - 12:15 PM,TTH,BESC 185,,"Schulte-Pelkum,Vera",75,Main Campus
GEOL,3430,10,B,17789,4,Sedimntology/Stratigrphy,LEC,10:00 AM - 10:50 AM,MWF,BESC 185,,"Budd,David A",48,Main Campus
GEOL,3430,11,B,17790,4,Sedimntology/Stratigrphy,LAB,02:00 PM - 04:50 PM,TH,BESC 265,,"Budd,David A",24,Main Campus
GEOL,3430,12,B,17793,4,Sedimntology/Stratigrphy,LAB,02:00 PM - 04:50 PM,W,BESC 265,,"Budd,David A",24,Main Campus
GEOL,3540,1,B,25357,3,Intro Petroleum Geol,LEC,12:30 PM - 01:45 PM,TTH,BESC 1B75,,"Patterson,Penny Ellen",30,Main Campus
GEOL,3720,1,B,24986,3,Evol of Life/Geol Record,LEC,12:00 PM - 12:50 PM,MWF,BESC 185,,"Stempien,Jennifer",60,Main Campus
GEOL,3910,10,B,32464,4,Earth and Planetary Inference,LEC,12:00 PM - 12:50 PM,MWF,BESC 265,,"Wing,Boswell",24,Main Campus
GEOL,3910,11,B,32466,4,Earth and Planetary Inference,LAB,02:00 PM - 04:50 PM,T,BESC 385,,"Wing,Boswell",25,Main Campus
GEOL,3950,1,B,32216,3,Nat Catas/Geol Hazards,LEC,02:00 PM - 02:50 PM,MWF,BESC 180,,"Willis,Michael John",169,Main Campus
GEOL,4093,10,B,21108,4,Remote Sensing-Environ,LEC,08:00 AM - 09:15 AM,TTH,HLMS 141,,"Adler,John Jay",15,Main Campus
GEOL,4241,10,B,22632,4,Prin of Geomorphology,LEC,09:30 AM - 10:45 AM,TTH,BESC 265,,"Anderson,Suzanne Prestrud",20,Main Campus
GEOL,4241,11,B,22633,4,Prin of Geomorphology,LAB,02:00 PM - 04:50 PM,TH,BESC 1B75,,"Anderson,Suzanne Prestrud",10,Main Campus
GEOL,4380,1,B,36266,3,Stable Isotope Geochemistry,LEC,11:00 AM - 12:15 PM,TTH,BESC 355,,"Snell,Kathryn Elaine",12,Main Campus
GEOL,4611,1,B,32704,3,Organic Geochemistry,LEC,10:00 AM - 11:15 AM,TTH,SEEC N128,"Sepulveda Arellano,Julio Cesar",,8,Main Campus
GEOL,4700,1,B,25506,1,Special Geological Topic,LEC,08:00 AM - 09:00 AM,W,BESC 265,,"Stempien,Jennifer",15,Main Campus
GEOL,4700,1,B,25506,1,Special Geological Topic,LEC,08:00 AM - 09:00 AM,W,BESC 265,,"Abbott,Lon",15,Main Campus
GEOL,4715,1,B,24524,2,Fld Technq Hydrogeology,FLD,02:00 PM - 05:00 PM,TTH,BESC 355,,"Mc Curry,Gordon Nichols",16,Main Campus
GEOL,4717,1,B,25331,2,Field Sem/Geol/Tectonics,FLD,-,TBA,,,"Jones,Craig H",10,Main Campus
GEOL,4725,2,B,25583,2,Field Based Special Topics,FLD,-,TBA,,,"Small Tilton,Eric Evan",15,Main Campus
GEOL,1010,581,BL3,38631,3,Exploring Earth,LEC,-,,Continuing Ed Online,,"Lester,Alan Philip",25,Continuing Education
,,,,,,,,,,Class,,,,
GEOL,1010,582,BL4,38632,3,Exploring Earth,LEC,-,,Continuing Ed Online,,"Lester,Alan Philip",25,Continuing Education
,,,,,,,,,,Class,,,,
Graduate,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,COURSE TITLE,CLASS,MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,COMPONENT,,,,,,,ENR,
GEOL,5001,1,B,38888,3,Phys Chem Solid Earth,SEM,09:00 AM - 09:50 AM,MWF,BESC 355,,"Jones,Craig H",24,Main Campus
GEOL,5093,10,B,22769,4,Remote Sensing-Environ,LEC,08:00 AM - 09:15 AM,TTH,HLMS 141,,"Adler,John Jay",4,Main Campus
GEOL,5380,1,B,36267,3,Stable Isotope Geochemistry,LEC,11:00 AM - 12:15 PM,TTH,BESC 355,,"Snell,Kathryn Elaine",24,Main Campus
GEOL,5700,1,B,24189,3,Geological Topic Seminar,SEM,09:00 AM - 09:50 AM,F,BESC 265,,"Anderson,Robert S",20,Main Campus
GEOL,5700,10,B,36251,1,Geological Topic Seminar,SEM,01:00 PM - 01:50 PM,W,BESC 340D,,"Flowers,Rebecca M",14,Main Campus
GEOL,5700,13,B,35869,2,Geological Topic Seminar,SEM,-,,BESC 240D,,"Small Tilton,Eric Evan",15,Main Campus
GEOL,5700,17,B,32792,3,Geological Topic Seminar,SEM,11:00 AM - 12:15 PM,TTH,BESC 440E,,"Mahan,Kevin H",6,Main Campus
Page 46 of 180,,,,,,,,Spring 2020,,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,
GEOL,5700,33,B,33222,3,Geological Topic Seminar,SEM,-,,,"Trower,Elizabeth",8,Main Campus
GEOL,5702,1,B,24365,1,Geomorphology Seminar,SEM,11:00 AM - 11:50 AM,W,BESC 240D,"Tucker,Gregory E",14,Main Campus
GEOL,5704,1,B,36268,1,Carbonates Seminar,SEM,-,TBA,,"Snell,Kathryn Elaine",15,Main Campus
GEOL,5717,1,B,25332,2,Field Sem/Geol/Tectonics,SEM,-,TBA,,"Jones,Craig H",6,Main Campus
GEOL,5775,1,B,36252,3,Intro Numerical Modeling,LEC,01:00 PM - 03:50 PM,W,BESC 355,"Anderson,Robert S",24,Main Campus
GEOL,5775,1,B,36252,3,Intro Numerical Modeling,LEC,01:00 PM - 03:50 PM,W,BESC 355,"Tucker,Gregory E",24,Main Campus
GEOL,5810,1,B,39530,3,Planetary Atmospheres,LEC,02:00 PM - 03:15 PM,TTH,DUAN E126,"Berta-Thompson,Zachory",5,Main Campus
GEOL,5830,1,B,24087,3,Topics in Planetary Science,LEC,02:00 PM - 02:50 PM,MWF,BESC 1B75,"Jakosky,Bruce M",10,Main Campus
GEOL,5830,2,B,38889,3,Topics in Planetary Science,LEC,02:00 PM - 02:50 PM,MWF,BESC 1B75,"Jakosky,Bruce M",10,Main Campus
GEOL,5835,1,B,25366,1,Seminar in Planetary Science,SEM,04:00 PM - 04:50 PM,T,DUAN E126,,5,Main Campus
GEOL,5910,1,B,33223,3,Geothermodynamics,LEC,09:00 AM - 10:15 AM,MW,BESC 265,"Wing,Boswell",20,Main Campus
GEOL,6630,1,B,35591,3,Earth and Planetary Physics 3,LEC,02:00 PM - 03:15 PM,TTH,DUAN G2B41,"Zhong,Shijie",10,Main Campus
GEOL,6940,901,B,37589,1,Master's Candidate for Degree,THE,-,TBA,,"Abbott,Lon",100,Main Campus
GEOL,6940,902,B,37594,1,Master's Candidate for Degree,THE,-,TBA,,"Anderson,Robert S",100,Main Campus
GEOL,6940,903,B,37596,1,Master's Candidate for Degree,THE,-,TBA,,"Anderson,Suzanne Prestrud",100,Main Campus
GEOL,6940,904,B,37597,1,Master's Candidate for Degree,THE,-,TBA,,"Arthurs,Leilani A",100,Main Campus
GEOL,6940,905,B,37598,1,Master's Candidate for Degree,THE,-,TBA,,"Budd,David A",100,Main Campus
GEOL,6940,906,B,37599,1,Master's Candidate for Degree,THE,-,TBA,,"Chin,Karen",100,Main Campus
GEOL,6940,907,B,37600,1,Master's Candidate for Degree,THE,-,TBA,,"Clark,Alisha",100,Main Campus
GEOL,6940,908,B,37601,1,Master's Candidate for Degree,THE,-,TBA,,"Eberle,Jaelyn J",100,Main Campus
GEOL,6940,909,B,37603,1,Master's Candidate for Degree,THE,-,TBA,,"Farmer,Lang G",100,Main Campus
GEOL,6940,910,B,37604,1,Master's Candidate for Degree,THE,-,TBA,,"Flowers,Rebecca M",100,Main Campus
GEOL,6940,911,B,37605,1,Master's Candidate for Degree,THE,-,TBA,,"Ge,Shemin",100,Main Campus
GEOL,6940,912,B,37606,1,Master's Candidate for Degree,THE,-,TBA,,"Hynek,Brian Michael",100,Main Campus
GEOL,6940,913,B,37607,1,Master's Candidate for Degree,THE,-,TBA,,"Jakosky,Bruce M",100,Main Campus
GEOL,6940,914,B,37608,1,Master's Candidate for Degree,THE,-,TBA,,"Jones,Craig H",100,Main Campus
GEOL,6940,915,B,37610,1,Master's Candidate for Degree,THE,-,TBA,,"Kopf,Sebastian H",100,Main Campus
GEOL,6940,916,B,37611,1,Master's Candidate for Degree,THE,-,TBA,,"Kraus,Mary Jean",100,Main Campus
GEOL,6940,917,B,37612,1,Master's Candidate for Degree,THE,-,TBA,,"Mahan,Kevin H",100,Main Campus
GEOL,6940,918,B,37613,1,Master's Candidate for Degree,THE,-,TBA,,"Marchitto,Thomas",100,Main Campus
GEOL,6940,919,B,37614,1,Master's Candidate for Degree,THE,-,TBA,,"Miller,Gifford Hubbs",100,Main Campus
GEOL,6940,920,B,37615,1,Master's Candidate for Degree,THE,-,TBA,,"Mojzsis,Stephen J",100,Main Campus
GEOL,6940,921,B,37616,1,Master's Candidate for Degree,THE,-,TBA,,"Molnar,Peter Hale",100,Main Campus
GEOL,6940,922,B,37617,1,Master's Candidate for Degree,THE,-,TBA,,"Mueller,Karl Jules",100,Main Campus
GEOL,6940,923,B,37618,1,Master's Candidate for Degree,THE,-,TBA,,"Overeem,Irina",100,Main Campus
GEOL,6940,924,B,37619,1,Master's Candidate for Degree,THE,-,TBA,,"Sepulveda Arellano,Julio Cesar",100,Main Campus
GEOL,6940,925,B,37620,1,Master's Candidate for Degree,THE,-,TBA,,"Sheehan,Anne F",100,Main Campus
GEOL,6940,926,B,37621,1,Master's Candidate for Degree,THE,-,TBA,,"Simpson,Carl",100,Main Campus
GEOL,6940,927,B,37740,1,Master's Candidate for Degree,THE,-,TBA,,"Small Tilton,Eric Evan",100,Main Campus
GEOL,6940,928,B,37741,1,Master's Candidate for Degree,THE,-,TBA,,"Snell,Kathryn Elaine",100,Main Campus
GEOL,6940,929,B,37742,1,Master's Candidate for Degree,THE,-,TBA,,"Stern,Charles R",100,Main Campus
GEOL,6940,930,B,37764,1,Master's Candidate for Degree,THE,-,TBA,,"Stern,Charles R",100,Main Campus
GEOL,6940,931,B,37775,1,Master's Candidate for Degree,THE,-,TBA,,"Templeton,Alexis S",100,Main Campus
GEOL,6940,932,B,37776,1,Master's Candidate for Degree,THE,-,TBA,,"Tiampo,Kristy French",100,Main Campus
GEOL,6940,933,B,37777,1,Master's Candidate for Degree,THE,-,TBA,,"Trower,Elizabeth",100,Main Campus
Page 47 of 180,,,,,,,,Spring 2020,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,
GEOL,6940,934,B,37778,1,Master's Candidate for Degree,THE,-,TBA,"Tucker,Gregory E",100,Main Campus
GEOL,6940,935,B,37779,1,Master's Candidate for Degree,THE,-,TBA,"Weimer,Paul",100,Main Campus
GEOL,6940,936,B,37781,1,Master's Candidate for Degree,THE,-,TBA,"White,James",100,Main Campus
GEOL,6940,937,B,37782,1,Master's Candidate for Degree,THE,-,TBA,"Willis,Michael John",100,Main Campus
GEOL,6940,938,B,37783,1,Master's Candidate for Degree,THE,-,TBA,"Wing,Boswell",100,Main Campus
GEOL,6940,939,B,37784,1,Master's Candidate for Degree,THE,-,TBA,,100,Main Campus
GEOL,6940,940,B,37785,1,Master's Candidate for Degree,THE,-,TBA,,100,Main Campus
GEOL,6940,941,B,37786,1,Master's Candidate for Degree,THE,-,TBA,,100,Main Campus
GEOL,6940,942,B,37787,1,Master's Candidate for Degree,THE,-,TBA,,100,Main Campus
GEOL,6940,943,B,37788,1,Master's Candidate for Degree,THE,-,TBA,,100,Main Campus
GEOL,6940,944,B,37789,1,Master's Candidate for Degree,THE,-,TBA,,100,Main Campus
GEOL,6940,945,B,37790,1,Master's Candidate for Degree,THE,-,TBA,,100,Main Campus
GEOL,6950,901,B,37507,1-6,Master's Thesis,THE,-,TBA,"Abbott,Lon",100,Main Campus
GEOL,6950,902,B,37791,1-6,Master's Thesis,THE,-,TBA,"Anderson,Robert S",100,Main Campus
GEOL,6950,903,B,37792,1-6,Master's Thesis,THE,-,TBA,"Anderson,Suzanne Prestrud",100,Main Campus
GEOL,6950,904,B,37793,1-6,Master's Thesis,THE,-,TBA,"Arthurs,Leilani A",100,Main Campus
GEOL,6950,905,B,37794,1-6,Master's Thesis,THE,-,TBA,"Budd,David A",100,Main Campus
GEOL,6950,906,B,37795,1-6,Master's Thesis,THE,-,TBA,"Chin,Karen",100,Main Campus
GEOL,6950,907,B,37796,1-6,Master's Thesis,THE,-,TBA,"Clark,Alisha",100,Main Campus
GEOL,6950,908,B,37797,1-6,Master's Thesis,THE,-,TBA,"Eberle,Jaelyn J",100,Main Campus
GEOL,6950,909,B,37798,1-6,Master's Thesis,THE,-,TBA,"Farmer,Lang G",100,Main Campus
GEOL,6950,910,B,37799,1-6,Master's Thesis,THE,-,TBA,"Flowers,Rebecca M",100,Main Campus
GEOL,6950,911,B,37800,1-6,Master's Thesis,THE,-,TBA,"Ge,Shemin",100,Main Campus
GEOL,6950,912,B,37801,1-6,Master's Thesis,THE,-,TBA,"Hynek,Brian Michael",100,Main Campus
GEOL,6950,913,B,37802,1-6,Master's Thesis,THE,-,TBA,"Jakosky,Bruce M",100,Main Campus
GEOL,6950,914,B,37803,1-6,Master's Thesis,THE,-,TBA,"Jones,Craig H",100,Main Campus
GEOL,6950,915,B,37804,1-6,Master's Thesis,THE,-,TBA,"Kopf,Sebastian H",100,Main Campus
GEOL,6950,916,B,37805,1-6,Master's Thesis,THE,-,TBA,"Kraus,Mary Jean",100,Main Campus
GEOL,6950,917,B,37806,1-6,Master's Thesis,THE,-,TBA,"Mahan,Kevin H",100,Main Campus
GEOL,6950,918,B,37808,1-6,Master's Thesis,THE,-,TBA,"Marchitto,Thomas",100,Main Campus
GEOL,6950,919,B,37809,1-6,Master's Thesis,THE,-,TBA,"Miller,Gifford Hubbs",100,Main Campus
GEOL,6950,920,B,37810,1-6,Master's Thesis,THE,-,TBA,"Mojzsis,Stephen J",100,Main Campus
GEOL,6950,921,B,37812,1-6,Master's Thesis,THE,-,TBA,"Molnar,Peter Hale",100,Main Campus
GEOL,6950,922,B,37813,1-6,Master's Thesis,THE,-,TBA,"Mueller,Karl Jules",100,Main Campus
GEOL,6950,923,B,37815,1-6,Master's Thesis,THE,-,TBA,"Overeem,Irina",100,Main Campus
GEOL,6950,924,B,37816,1-6,Master's Thesis,THE,-,TBA,"Sepulveda Arellano,Julio Cesar",100,Main Campus
GEOL,6950,925,B,37818,1-6,Master's Thesis,THE,-,TBA,"Sheehan,Anne F",100,Main Campus
GEOL,6950,926,B,37819,1-6,Master's Thesis,THE,-,TBA,"Simpson,Carl",100,Main Campus
GEOL,6950,927,B,37821,1-6,Master's Thesis,THE,-,TBA,"Small Tilton,Eric Evan",100,Main Campus
GEOL,6950,928,B,37822,1-6,Master's Thesis,THE,-,TBA,"Snell,Kathryn Elaine",100,Main Campus
GEOL,6950,929,B,37824,1-6,Master's Thesis,THE,-,TBA,"Stempien,Jennifer",100,Main Campus
GEOL,6950,930,B,37825,1-6,Master's Thesis,THE,-,TBA,"Stern,Charles R",100,Main Campus
GEOL,6950,931,B,37826,1-6,Master's Thesis,THE,-,TBA,"Templeton,Alexis S",100,Main Campus
GEOL,6950,932,B,37827,1-6,Master's Thesis,THE,-,TBA,"Tiampo,Kristy French",100,Main Campus
GEOL,6950,933,B,37828,1-6,Master's Thesis,THE,-,TBA,"Trower,Elizabeth",100,Main Campus
Page 48 of 180,,,,,,,Spring 2020,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,,
GEOL,6950,934,B,37829,1-6,Master's Thesis,THE,-,TBA,,,"Tucker,Gregory E",100,Main Campus
GEOL,6950,935,B,37830,1-6,Master's Thesis,THE,-,TBA,,,"Weimer,Paul",100,Main Campus
GEOL,6950,936,B,37831,1-6,Master's Thesis,THE,-,TBA,,,"White,James",100,Main Campus
GEOL,6950,937,B,37832,1-6,Master's Thesis,THE,-,TBA,,,"Willis,Michael John",100,Main Campus
GEOL,6950,938,B,37833,1-6,Master's Thesis,THE,-,TBA,,,"Wing,Boswell",100,Main Campus
GEOL,6950,939,B,37834,1-6,Master's Thesis,THE,-,TBA,,,,100,Main Campus
GEOL,6950,940,B,37835,1-6,Master's Thesis,THE,-,TBA,,,,100,Main Campus
GEOL,6950,941,B,37836,1-6,Master's Thesis,THE,-,TBA,,,,100,Main Campus
GEOL,6950,942,B,37837,1-6,Master's Thesis,THE,-,TBA,,,,100,Main Campus
GEOL,6950,943,B,37838,1-6,Master's Thesis,THE,-,TBA,,,,100,Main Campus
GEOL,6950,944,B,37839,1-6,Master's Thesis,THE,-,TBA,,,,100,Main Campus
GEOL,6950,945,B,37840,1-6,Master's Thesis,THE,-,TBA,,,,100,Main Campus
GEOL,6960,901,B,37844,3,Plan II Masters Research,THE,-,TBA,,,,100,Main Campus
GEOL,6960,902,B,37846,3,Plan II Masters Research,THE,-,TBA,,,,100,Main Campus
GEOL,6960,903,B,37848,3,Plan II Masters Research,THE,-,TBA,,,,100,Main Campus
GEOL,6960,904,B,37849,3,Plan II Masters Research,THE,-,TBA,,,,100,Main Campus
GEOL,6960,905,B,37850,3,Plan II Masters Research,THE,-,TBA,,,,100,Main Campus
GEOL,6960,906,B,37851,3,Plan II Masters Research,THE,-,TBA,,,,100,Main Campus
German,,,,,,,,,,,,,,
McKenna 129,,,,,303-492-7404,,,,,,,,,
http://gsll.colorado.edu/,,,,,,,,,,,,,,
Undergraduate,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,COURSE TITLE,CLASS,MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,COMPONENT,,,,,,,ENR,
GRM,1010,2,B,17513,4,Beginning German 1,LEC,11:00 AM - 11:50 AM,MTTF,CLUB 4,,,19,Main Campus
GRM,1010,3,B,17514,4,Beginning German 1,LEC,01:00 PM - 01:50 PM,MTTF,CLUB 4,,,19,Main Campus
GRM,1010,4,B,17515,4,Beginning German 1,LEC,09:00 AM - 09:50 AM,MTTF,CHEM 131,,,19,Main Campus
GRM,1010,5,B,23447,4,Beginning German 1,LEC,12:00 PM - 12:50 PM,MTTF,HUMN 1B70,,,19,Main Campus
GRM,1020,2,B,17517,4,Beginning German 2,LEC,01:00 PM - 01:50 PM,MTTF,HLMS 191,,,19,Main Campus
GRM,1020,3,B,17518,4,Beginning German 2,LEC,09:00 AM - 09:50 AM,MTTF,HUMN 145,,,19,Main Campus
GRM,1020,4,B,23401,4,Beginning German 2,LEC,12:00 PM - 12:50 PM,MTTF,HLMS 191,,,19,Main Campus
GRM,1601,1,B,36023,3,Germany Today,LEC,11:00 AM - 11:50 AM,MWF,ECON 16,,"Gindner,Jette",20,Main Campus
GRM,2020,2,B,17523,4,Intermediate German 2,LEC,10:00 AM - 10:50 AM,MTTF,HUMN 145,,"Jany,Ursula Berit",19,Main Campus
GRM,2301,10,B,23448,3,Inside Nazi Germany,LEC,02:00 PM - 02:50 PM,MW,CASE E240,,"Greaney,Patrick",98,Main Campus
GRM,2503,1,B,31359,3,Fairy Tales of Germany,LEC,12:00 PM - 12:50 PM,MWF,GUGG 205,,,45,Main Campus
GRM,3010,1,B,17628,3,Advanced German 1,LEC,11:00 AM - 11:50 AM,MWF,MKNA 112,,"Hintz,Saskia Barbara",20,Main Campus
GRM,3020,1,B,17629,3,Advanced German 2,LEC,01:00 PM - 01:50 PM,MWF,MKNA 112,,"Hintz,Saskia Barbara",20,Main Campus
GRM,3030,1,B,21859,3,Business German,LEC,02:00 PM - 02:50 PM,MWF,MKNA 112,,"Hintz,Saskia Barbara",20,Main Campus
GRM,3150,1,B,32262,3,German Politis and Lit,SEM,09:00 AM - 09:50 AM,MWF,MKNA 112,,"Gindner,Jette",20,Main Campus
GRM,3505,1,B,32263,3,The Enlightenment,LEC,02:00 PM - 03:15 PM,TTH,HALE 240,,"Muller-Sievers,Helmut",35,Main Campus
GRM,3513,1,B,24893,3,Grmn Film & Society 1945-89,LEC,03:00 PM - 04:15 PM,MW,VAC 1B90,,"Gindner,Jette",30,Main Campus
GRM,3513,1,B,24893,3,Grmn Film & Society 1945-89,LEC,05:00 PM - 07:30 PM,W,VAC 1B90,,"Gindner,Jette",30,Main Campus
GRM,4051,801,B,22691,3,Crit Theory Frankfurt School,SEM,03:30 PM - 06:00 PM,TH,MKNA 112,,"Hoecker,Arne",18,Main Campus
GRM,4231,1,B,39406,3,Sex/Love/Marriage: Lit & Phil,SEM,06:00 PM - 07:15 PM,MW,MKNA 112,,"Stone,Lauren",20,Main Campus
Page 49 of 180,,,,,,,,Spring 2020,,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,,,
GRM,4504,1,B,31394,3,,Goethe's Faust,LEC, 11:00 AM - 12:15 PM,TTH, MKNA 112,"Muller-Sievers,Helmut",15, Main Campus,
Graduate,,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,, COURSE TITLE,CLASS, MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,,COMPONENT,,,,,,ENR,,
GRM,5010,2,B,39405,3,G, erman Studies Theory/Practice,LEC, 03:00 PM - 05:30 PM,M, MKNA 112,"Stone,Lauren",20, Main Campus,
GRM,5051,1,B,24291,3,Crit Theory Frankfurt School,,SEM, 03:30 PM - 06:00 PM,TH, MKNA 112,"Hoecker,Arne",18, Main Campus,
GRM,5231,1,B,39407,3,Sex/Love/Marriage: Lit & Phil,,SEM, 06:00 PM - 07:15 PM,MW, MKNA 112,"Stone,Lauren",20, Main Campus,
GRM,5520,1,B,31393,3,Sem: Curr Iss Grmn Lit & Media,,SEM, 03:30 PM - 06:00 PM,T, MKNA 112,"Weber,Beverly",20, Main Campus,
Germanic & Slavic Languages & Literature,,,,,,,,,,,,,,,
McKenna 129,,,,,303-492-7404,,,,,,,,,,
http://www.colorado.edu/germslav/,,,,,,,,,,,,,,,
Undergraduate,,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,, COURSE TITLE,CLASS, MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,,COMPONENT,,,,,,ENR,,
GSLL,2350,1,B,23156,3,Introduction to Jewish Culture,,LEC, 11:00 AM - 11:50 AM,MWF,RAMY N1B31,"Wartell,Rebecca",30, Main Campus,
GSLL,2350,2,B,36430,3,Introduction to Jewish Culture,,LEC, 12:00 PM - 12:50 PM,MWF, GUGG 2,"Wartell,Rebecca",30, Main Campus,
Hebrew,,,,,,,,,,,,,,,
McKenna 129,,,,,303-492-7404,,,,,,,,,,
http://gsll.colorado.edu/hebrew/welcome-hebrew-program,,,,,,,,,,,,,,,
Undergraduate,,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,, COURSE TITLE,CLASS, MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,,COMPONENT,,,,,,ENR,,
HEBR,1020,1,B,22393,4,Beginning Modern Hebrew 2,,LEC, 01:15 PM - 02:25 PM,MWF, CLUB 6," Rivlin,Eyal O",20, Main Campus,
HEBR,1020,2,B,36110,4,Beginning Modern Hebrew 2,,LEC, 09:40 AM - 10:50 AM,MWF, CLUB 6,"Schank,Rona",20, Main Campus,
HEBR,2120,1,B,22574,4,Intermediate Modern Hebrew 2,,LEC, 12:00 PM - 01:10 PM,MWF, CLUB 6," Rivlin,Eyal O",20, Main Campus,
HEBR,3020,1,B,22622,3,Third Year Modern Hebrew 2,,LEC, 11:00 AM - 11:50 AM,MWF, CLUB 6,"Schank,Rona",15, Main Campus,
Hindi,,,,,,,,,,,,,,,
Humanities 240,,,,,303-492-6639,,,,,,,,,,
http://alc.colorado.edu/,,,,,,,,,,,,,,,
See Asian Languages & Civilizations,,,,,,,,,,,,,,,
Undergraduate,,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,, COURSE TITLE,CLASS, MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,,COMPONENT,,,,,,ENR,,
HIND,1011,1,B,31408,3,, Intro South Asian Civilization,LEC, 08:00 AM - 09:15 AM,TTH,HUMN 135,"Parson,Rahul",60, Main Campus,
HIND,1020,1,B,17732,5,, Beginning Hindi 2,LEC, 10:00 AM - 10:50 AM,M-F, HLMS 247,"Arya,Nidhi",19, Main Campus,
HIND,2120,1,B,17733,5,, Intermediate Hindi 2,LEC, 11:00 AM - 11:50 AM,M-F, CHEM 146,"Arya,Nidhi",10, Main Campus,
