ANTH,4720,800,18452,3,Dept Honors in Anthropology 2,SEM,09:00:00,11:30:00,TH,See Academc Dept,"Cool,Alison Collier",10,Main Campus
ANTH,4730,1,22711,3,Latin American Culture,LEC,14:00:00,15:15:00,TTH,HALE 455,"Goldstein,Donna M",21,Main Campus
ANTH,4735,1,36383,3,Cuban Culture,LEC,13:00:00,13:50:00,MWF,HALE 240,"Roland,Lorecia Kaifa-Aliya",35,Main Campus
ANTH,4800,1,24646,3,Language and Culture,LEC,10:00:00,10:50:00,MWF,HALE 260,,35,Main Campus
ANTH,2010,300E,38201,3,Intro to Bio Anthropology 1,LEC,18:00:00,19:30:00,TH,,"Emerson,Cherriethel Kathleen W",35,Continuing Education
ANTH,2100,300E,38203,3,Intro to Cultural Anthropology,LEC,17:30:00,19:00:00,W,,"Merriman,Danielle Reaney",30,Continuing Education
ANTH,5125,100,32010,3,Primate Life History,LEC,12:30:00,13:45:00,TTH,HALE 455,"Sauther,Michelle Linda",5,Main Campus
ANTH,5700,10,36396,3,Practicing Anthropology,SEM,15:00:00,16:15:00,MW,HLMS 251,"Goldfarb,Kathryn",30,Main Campus
ANTH,5730,1,25345,3,Latin American Culture,LEC,14:00:00,15:15:00,TTH,HALE 455,"Goldstein,Donna M",5,Main Campus
ANTH,5735,1,36400,3,Cuban Culture,LEC,13:00:00,13:50:00,MWF,HALE 240,"Roland,Lorecia Kaifa-Aliya",5,Main Campus
ANTH,5785,1,36386,3,Adv Sem: Cultural ANTH,SEM,09:30:00,12:00:00,T,HALE 455,"McGranahan,Carole Ann",15,Main Campus
ANTH,7000,1,23723,3,Sem-Cur Rsch Tpc Clt Ant,SEM,14:00:00,16:30:00,M,HALE 455,"Cool,Alison Collier",15,Main Campus
ANTH,7000,2,36418,3,Sem-Cur Rsch Tpc Clt Ant,SEM,13:00:00,15:30:00,W,HALE 455,"Jones,Carla Mae",15,Main Campus
ANTH,7000,3,36426,3,Sem-Cur Rsch Tpc Clt Ant,SEM,10:00:00,12:30:00,TH,HALE 450,"Shannon,Jennifer",15,Main Campus
ANTH,7030,1,24154,3,Sem-Archaeology,SEM,15:15:00,17:45:00,T,HALE 455,"Ortman,Scott Graham",15,Main Campus
APPM,1235,120,25465,4,Pre-Calculus for Engineers,LEC,09:00:00,09:50:00,MWF,KTCH 1B71,,0,Main Campus
APPM,1235,150,23059,4,Pre-Calculus for Engineers,LEC,14:00:00,14:50:00,MWF,KTCH 1B71,,0,Main Campus
APPM,1235,220,25466,4,Pre-Calculus for Engineers,REC,09:00:00,09:50:00,TH,,,40,Main Campus
APPM,1345,150,22414,4,Calculus 1B with Algebra,LEC,12:00:00,12:50:00,MWF,FLMG 154,,60,Main Campus
APPM,1345,250,24774,0,Calculus 1B with Algebra,REC,12:00:00,12:50:00,TH,KCEN N101,,30,Main Campus
APPM,1350,130,22712,4,Calculus 1 for Engineers,LEC,10:00:00,10:50:00,MWF,HLMS 201,,50,Main Campus
APPM,1350,150,23760,4,Calculus 1 for Engineers,LEC,12:00:00,12:50:00,MWF,ECCR 135,,50,Main Campus
APPM,1350,170,22164,4,Calculus 1 for Engineers,LEC,14:00:00,14:50:00,MWF,ECCR 135,,50,Main Campus
APPM,1360,120,23639,4,Calculus 2 for Engineers,LEC,09:00:00,09:50:00,MWF,ECCR 245,,100,Main Campus
APPM,1360,130,22673,4,Calculus 2 for Engineers,LEC,10:00:00,10:50:00,MWF,ECCR 245,,106,Main Campus
APPM,1390,831,25379,1,A Game for Calculus,LEC,11:00:00,11:50:00,F,ECES 1B12,,30,Main Campus
APPM,1390,842,25380,1,A Game for Calculus,LEC,10:00:00,10:50:00,F,ECES 1B12,,30,Main Campus
APPM,1390,843,25382,1,A Game for Calculus,LEC,15:00:00,15:50:00,F,ECES 1B12,,30,Main Campus
APPM,1390,844,25381,1,A Game for Calculus,LEC,16:00:00,16:50:00,F,ECES 1B12,,30,Main Campus
APPM,1390,852,25378,1,A Game for Calculus,LEC,15:00:00,15:50:00,M,ECES 1B12,,30,Main Campus
APPM,1390,853,25532,1,A Game for Calculus,LEC,16:00:00,16:50:00,M,ECES 1B12,,30,Main Campus
APPM,2350,120,22723,4,Calculus 3 for Engineers,LEC,09:00:00,09:50:00,MWF,MUEN E113,,42,Main Campus
APPM,2350,140,17484,4,Calculus 3 for Engineers,LEC,11:00:00,11:50:00,MWF,ECCR 1B40,,110,Main Campus
APPM,2350,290,24745,0,Calculus 3 for Engineers,REC,16:00:00,16:50:00,TH,ECCR 116,,23,Main Campus
APPM,2360,110,17489,4,Intro Diff Eq W/Lin Alg,LEC,08:00:00,08:50:00,MWF,ECCR 105,,35,Main Campus
APPM,2360,120,22676,4,Intro Diff Eq W/Lin Alg,LEC,09:00:00,09:50:00,MWF,ECCR 200,,88,Main Campus
APPM,2360,130,17490,4,Intro Diff Eq W/Lin Alg,LEC,10:00:00,10:50:00,MWF,ECCR 265,,149,Main Campus
APPM,2360,150,17497,4,Intro Diff Eq W/Lin Alg,LEC,12:00:00,12:50:00,MWF,ECCR 200,,88,Main Campus
APPM,2360,160,23306,4,Intro Diff Eq W/Lin Alg,LEC,13:00:00,13:50:00,MWF,ECCR 200,,88,Main Campus
APPM,2360,170,17501,4,Intro Diff Eq W/Lin Alg,LEC,14:00:00,14:50:00,MWF,ECCR 200,,88,Main Campus
APPM,2360,171,24054,4,Intro Diff Eq W/Lin Alg,LEC,14:30:00,15:20:00,MWF,AERO 111,,80,Main Campus
APPM,2360,253,23892,0,Intro Diff Eq W/Lin Alg,REC,12:00:00,12:50:00,TH,CLUB 4,,25,Main Campus
APPM,2360,282,24746,0,Intro Diff Eq W/Lin Alg,REC,15:00:00,15:50:00,TH,ECCR 108,,25,Main Campus
APPM,2360,549R,22556,4,Intro Diff Eq W/Lin Alg,LEC,13:00:00,13:50:00,MWF,ANDS N103,,34,Main Campus
APPM,2450,2,17506,1,Calculus 3 Computer Lab,LEC,10:00:00,10:50:00,T,ECCR143,,25,Main Campus
APPM,2450,3,17507,1,Calculus 3 Computer Lab,LEC,13:00:00,13:50:00,T,ECCR143,,25,Main Campus
APPM,2450,4,17508,1,Calculus 3 Computer Lab,LEC,14:00:00,14:50:00,T,ECCR143,,25,Main Campus
APPM,2460,1,17509,1,Diff Eq Computer Lab,LEC,11:00:00,11:50:00,T,ECCR143,,25,Main Campus
APPM,2460,2,17510,1,Diff Eq Computer Lab,LEC,12:00:00,12:50:00,T,ECCR143,,25,Main Campus
APPM,2460,3,17511,1,Diff Eq Computer Lab,LEC,15:00:00,15:50:00,T,ECCR143,,25,Main Campus
APPM,2460,4,17512,1,Diff Eq Computer Lab,LEC,16:00:00,16:50:00,T,ECCR143,,25,Main Campus
APPM,3050,10,18311,3,Sci Computing in Matlab,LEC,09:00:00,09:50:00,MWF,FLMG 157,,35,Main Campus
APPM,3170,1,24155,3,Discrete Applied Mathematics,LEC,13:00:00,13:50:00,MWF,ECCR 150,,50,Main Campus
APPM,3570,1,18194,3,Applied Probability,LEC,10:00:00,10:50:00,MWF,FLMG 157,"Restrepo,Juan G",35,Main Campus
APPM,3570,2,22165,3,Applied Probability,LEC,14:00:00,14:50:00,MWF,FLMG 154,"Restrepo,Juan G",35,Main Campus
APPM,4120,1,22260,3,Operations Research,LEC,11:00:00,11:50:00,MWF,ECCR 135,"Vernerey,Divya E.",20,Main Campus
APPM,4360,1,18416,3,Complex Var/Applications,LEC,12:00:00,12:50:00,MWF,FLMG 156,"Ablowitz,Mark J",50,Main Campus
APPM,4360,2,18418,3,Complex Var/Applications,LEC,13:00:00,13:50:00,MWF,FLMG 157,"Ablowitz,Mark J",50,Main Campus
APPM,4370,1,30635,3,Computational Neuroscience,LEC,11:00:00,11:50:00,MWF,CASE E340,"Kilpatrick,Zachary",25,Main Campus
APPM,4390,1,30637,3,Modeling: Mathematical Biology,LEC,15:00:00,16:15:00,MW,ECCR 116,"Bortz,David Matthew",10,Main Campus
APPM,4450,1,18424,3,Ugrad Applied Analysis 2,LEC,12:00:00,12:50:00,MWF,ECCR 257,,15,Main Campus
APPM,4560,1,24947,3,Markov Processes,LEC,13:00:00,13:50:00,MWF,FLMG 156,"Corcoran,Jem",25,Main Campus
APPM,4650,1,21394,3,Intermed Numerical Analysis 1,LEC,09:00:00,09:50:00,MWF,ECCR 105,,16,Main Campus
APPM,4650,2,25531,3,Intermed Numerical Analysis 1,LEC,09:00:00,09:50:00,MWF,ECCR 135,,0,Main Campus
APPM,4660,2,25464,3,Intermed Numer Analys 2,LEC,09:00:00,09:50:00,MWF,ECCR 139,,25,Main Campus
APPM,4720,2,23452,3,Open Tpcs: Applied Mathematics,LEC,08:00:00,09:15:00,TTH,,"Stutzer,Michael J.",10,Main Campus
APPM,4720,4,24508,3,Open Tpcs: Applied Mathematics,LEC,16:00:00,17:15:00,MW,FLMG 156,"Appelo,Daniel E",10,Main Campus
APPM,5120,1,22261,3,Operations Research,LEC,11:00:00,11:50:00,MWF,ECCR 135,"Vernerey,Divya E.",5,Main Campus
APPM,5360,1,18417,3,Complex Var/Applications,LEC,12:00:00,12:50:00,MWF,FLMG 156,"Ablowitz,Mark J",5,Main Campus
